run	V(vref)
6.310000000000000e+02	1.224625e+00
6.320000000000000e+02	1.185983e+00
6.330000000000000e+02	1.187144e+00
6.340000000000000e+02	1.212845e+00
6.350000000000000e+02	1.205726e+00
6.360000000000000e+02	1.206590e+00
6.370000000000000e+02	1.161529e+00
6.380000000000000e+02	1.232182e+00
6.390000000000000e+02	1.188288e+00
6.400000000000000e+02	1.210671e+00
6.410000000000000e+02	1.233608e+00
6.420000000000000e+02	1.248625e+00
6.430000000000000e+02	1.207037e+00
6.440000000000000e+02	1.231389e+00
6.450000000000000e+02	1.221057e+00
6.460000000000000e+02	1.172778e+00
6.470000000000000e+02	1.178219e+00
6.480000000000000e+02	1.207036e+00
6.490000000000000e+02	1.203949e+00
6.500000000000000e+02	1.224406e+00
6.510000000000000e+02	1.198871e+00
6.520000000000000e+02	1.208994e+00
6.530000000000000e+02	1.215025e+00
6.540000000000000e+02	1.243475e+00
6.550000000000000e+02	1.183246e+00
6.560000000000000e+02	1.169950e+00
6.570000000000000e+02	1.235898e+00
6.580000000000000e+02	1.224978e+00
6.590000000000000e+02	1.210632e+00
6.600000000000000e+02	1.224478e+00
6.610000000000000e+02	1.215038e+00
6.620000000000000e+02	1.205527e+00
6.630000000000000e+02	1.205283e+00
6.640000000000000e+02	1.196669e+00
6.650000000000000e+02	1.207381e+00
6.660000000000000e+02	1.226612e+00
6.670000000000000e+02	1.212309e+00
6.680000000000000e+02	1.210779e+00
6.690000000000000e+02	1.198604e+00
6.700000000000000e+02	1.210620e+00
6.710000000000000e+02	1.220798e+00
6.720000000000000e+02	1.221040e+00
6.730000000000000e+02	1.231120e+00
6.740000000000000e+02	1.208410e+00
6.750000000000000e+02	1.196268e+00
6.760000000000000e+02	1.189573e+00
6.770000000000000e+02	1.183178e+00
6.780000000000000e+02	1.202768e+00
6.790000000000000e+02	1.199421e+00
6.800000000000000e+02	1.218940e+00
6.810000000000000e+02	1.197927e+00
6.820000000000000e+02	1.187013e+00
6.830000000000000e+02	1.209216e+00
6.840000000000000e+02	1.209234e+00
6.850000000000000e+02	1.207993e+00
6.860000000000000e+02	1.220526e+00
6.870000000000000e+02	1.201572e+00
6.880000000000000e+02	1.204608e+00
6.890000000000000e+02	1.224702e+00
6.900000000000000e+02	1.193770e+00
6.910000000000000e+02	1.222424e+00
6.920000000000000e+02	1.228424e+00
6.930000000000000e+02	1.227772e+00
6.940000000000000e+02	1.224984e+00
6.950000000000000e+02	1.183316e+00
6.960000000000000e+02	1.213045e+00
6.970000000000000e+02	1.203735e+00
6.980000000000000e+02	1.219147e+00
6.990000000000000e+02	1.220438e+00
7.000000000000000e+02	1.190906e+00
7.010000000000000e+02	1.231828e+00
7.020000000000000e+02	1.205210e+00
7.030000000000000e+02	1.219015e+00
7.040000000000000e+02	1.203256e+00
7.050000000000000e+02	1.190513e+00
7.060000000000000e+02	1.212761e+00
7.070000000000000e+02	1.249482e+00
7.080000000000000e+02	1.213446e+00
7.090000000000000e+02	1.203302e+00
7.100000000000000e+02	1.216691e+00
7.110000000000000e+02	1.230418e+00
7.120000000000000e+02	1.200567e+00
7.130000000000000e+02	1.225051e+00
7.140000000000000e+02	1.219935e+00
7.150000000000000e+02	1.222635e+00
7.160000000000000e+02	1.206236e+00
7.170000000000000e+02	1.219992e+00
7.180000000000000e+02	1.176089e+00
7.190000000000000e+02	1.217387e+00
7.200000000000000e+02	1.201935e+00
7.210000000000000e+02	1.220732e+00
7.220000000000000e+02	1.209109e+00
7.230000000000000e+02	1.203251e+00
7.240000000000000e+02	1.180479e+00
7.250000000000000e+02	1.234602e+00
7.260000000000000e+02	1.193304e+00
7.270000000000000e+02	1.202167e+00
7.280000000000000e+02	1.241999e+00
7.290000000000000e+02	1.204173e+00
7.300000000000000e+02	1.209792e+00
7.310000000000000e+02	1.180243e+00
7.320000000000000e+02	1.244197e+00
7.330000000000000e+02	1.190342e+00
